,sighted_timestamp,city,state,country,shape,duration_seconds,duration_mins,comments,date_posted,latitude,longitude
0,9/24/2013 22:33,columbus,oh,us,oval,900.0,15 minutes,((HOAX??))  A big colorful oval shaped vessel slowly descending&#44 while spinning and moving forward. No noise what so ever.,9/30/2013,39.961111100000004,-82.99888890000001
1,9/24/2013 23:00,rapid city,mi,us,triangle,900.0,15 minutes,Reddish Lights on a Triangle Seen by 8+ people.,9/30/2013,44.834444399999995,-85.2825
2,9/25/1966 17:00,los banos,ca,us,egg,180.0,2-3 min,2 egg shaped objects in daylight near Los Banos CA,10/15/2002,37.0583333,-120.84888889999999
3,9/25/1976 22:00,akron,oh,us,light,900.0,15 mins,large ball of light&#44 made no sound,12/2/2000,41.08138889999999,-81.5191667
4,9/25/1979 20:30,cottage grove,mn,us,circle,300.0,5 minutes,Saucer shape in city of Cottage Grove&#44MN seen for 5 minutes,11/28/2007,44.8277778,-92.9436111
5,9/25/1981 22:00,blue springs,mo,us,other,600.0,10 minutes,When I felt the bed sheets grazing my back&#44 I knew I was the one moving and not the bed.,3/21/2003,39.01694439999999,-94.28138890000001
6,9/25/1987 18:00,alvarado,tx,us,light,600.0,10 min,Hey&#44 it&#39s Following Us&#33,6/18/2004,32.406388899999996,-97.2113889
7,9/25/1988 14:00,polpero&#44 cornwall (uk/england),,,circle,6.0,6secopnds,At approximately 14.00 hrs whilst playing a game of table tennis outside&#44 i looked almost directly into the clear sky above me. As some,5/14/2002,50.331614,-4.51699
8,9/25/1991 18:00,clemson,sc,us,triangle,120.0,2 minutes,Traingular craft&#44 with a circle in it&#39s center&#44.  circular lights in the circle that rotated.,6/12/2008,34.6833333,-82.8375
9,9/25/1992 19:00,chino,ca,us,disk,900.0,15 minutes,We saw what we thought was an eclipsed moon&#44 at first. Saucer craft remained motionless in the sky.,10/30/2006,34.012222200000004,-117.68805559999998
10,9/25/1992 21:30,golden valley,mn,us,flash,9000.0,2.5 hours,A flashing bright&#44 white light hovered over my neighborhood for over 2 hours.,4/1/2000,45.0097222,-93.3488889
11,9/25/1995 00:00,hernando,fl,us,triangle,120.0,2 minutes,well i was over a friends house i was 15 years old. i have a telescope and we were looking at the moon it was a clear night and fule mo,3/11/2006,28.8997222,-82.37472220000001
12,9/25/1995 06:01,salt lake city,ut,us,,8.0,8 sec.,FAA controller reports seeing bright red/orange obj. streaking E to W in S sky 20 deg. above horizon.  Left straight&#44glowing trail.,11/2/1999,40.7608333,-111.89027779999999
13,9/25/1995 21:18,flushing,mi,us,,120.0,2 min.,Man hears dog barking&#44 goes outside&#44 sees a bright &quot;falling star.&quot;  Looked like &quot;a spider dropping on a string.&quot; (See 26SE95.),11/2/1999,43.063055600000006,-83.8511111
14,9/25/1995 22:30,seattle,wa,us,triangle,120.0,1-2 min.,Cloudless night&#44 clear: craft silent&#44 six round&#44 pale orange lights on underside of craft; travelled south to north&#44 not fast.I saw it,1/28/1999,47.6063889,-122.33083329999998
15,9/25/1996 22:00,oxford (uk/england),,gb,unknown,600.0,10 minutes,Scanned by something,10/12/2001,51.75,-1.25
16,9/25/1997 02:00,toronto (canada),on,ca,light,900.0,15min,bright round object zig zaging back and forth up and down over lake ontario canada side.,1/11/2002,43.666667,-79.416667
17,9/25/1997 22:00,clearfield,ut,us,triangle,90.0,60-90 seconds,We observed a low flying craft (aprox.100yards up ) hovering over head and moving in a westerly direction. The movement was slow.,1/28/1999,41.110833299999996,-112.0252778
18,9/25/1997 23:00,toronto (canada),on,ca,light,900.0,10-15 min,reddish orange lights popping in and out of sky randomly all in different spots,2/12/2004,43.666667,-79.416667
19,9/25/1998 00:40,milwaukee (80 miles nw of&#44 6000ft msl),wi,us,oval,20.0,20 sec.,I&#39m a Cargo Pilot who flies a nightly run between MKE and EAU&#44 WI.  At 0040 central time. My co-pilot and I witnessed a very intense li,8/5/2001,43.038888899999996,-87.90638890000001
20,9/25/1998 05:41,memphis,tn,us,flash,180.0,3 min,Approx. it was 5:41 in the morning and I was driving down this road called farm road and all of a sudden&#44 I see this flash and it went,9/26/1998,35.14944439999999,-90.04888890000001
21,9/25/1998 12:15,fire island pines (off great south bay),ny,us,cylinder,600.0,10min,While Kayaking in the Bay&#44 I noticed a large black Cylinder rolling/floating in the sky&#44 I pointed it out to a man on shore and a passi,11/1/1998,40.6652778,-73.0686111
22,9/25/1998 20:00,acampo,ca,us,teardrop,3.0,2-3 sec,An orange colored&#44 teardrop shaped object trailed by white sparks   appeared in the Eastern sky at about 130 degrees from the horizon.,11/19/1998,38.1747222,-121.2775
23,9/25/1998 21:25,monroe,wa,us,fireball,3.0,3 seconds,Bright green ball of light about size of moon apeared at 60 degrees ended at 20 degrees,11/1/1998,47.8555556,-121.9697222
24,9/25/1998 21:25,silverdale (near seattle) across from nsb bangor (trident su,wa,,fireball,3.0,<3 seconds,One (1) Large green fireball.,9/26/1998,47.751073999999996,-120.74013899999999
25,9/25/1998 23:00,bellevue/redmond,wa,,rectangle,1500.0,25 minutes,craft leaped across the sky to hover above me,2/22/2005,47.601156,-122.163676
26,9/25/1998 23:00,bosque farms,nm,us,unknown,180.0,~3 minutes,Well I was looking at the cresent moon with my celestron 4.5 telescope and I saw a shadow traveling across the moon.,11/20/2002,34.8547222,-106.7047222
27,9/25/1998 23:00,eskasoni (canada),ns,,light,5.0,5 seconds,Blue Light rockets up into space,2/14/2006,45.948514,-60.601152
28,9/25/1998 23:40,san diego north county (mira mesa),ca,,sphere,1.0,1 sec,a fast moving green glowing airborn object&#44 came into view and traversed my field of vision in a southwardly direction as I drove my ca,9/26/1998,32.715738,-117.161084
29,9/25/1998 24:00,marysville,oh,us,disk,10.0,10sec&#39s.,red/orange in color&#44 hovered for about 5 seconds&#44 turned white and disappeared.,9/26/1998,40.236388899999994,-83.3672222
30,9/25/1999 00:45,wilberfoss&#44 york (uk/england),,,light,120.0,2 mins,Blue/white fanning light&#44 which closed to a point and gradually faded to ground level,10/2/1999,53.951048,-0.8847229999999999
31,9/25/1999 02:00,franklin,nc,us,circle,1800.0,30m,Recently my mother and myself have witnesst a white light with red and blue lights flashing around it.We have witnesst it together and,11/20/2002,35.1822222,-83.3816667
32,9/25/1999 19:15,everett,wa,us,light,300.0,3-5 minutes,I watched a streak of light move in a southerly direction heading downward eventually disappearing behind the Olympic Mountains.,10/2/1999,47.9791667,-122.20083329999999
33,9/25/1999 19:30,goldendale (3 miles ne of),wa,us,circle,5.0,3-5sec,Bright greenish light heading north-east,11/2/1999,45.8208333,-120.82055559999999
34,9/25/1999 20:00,ewen,mi,us,fireball,1.0,1 sec,Greenish blue fireball which appeared to be quite large in size.  Arced toward earth in a west to east direction but north of Ewen&#44 MI.,10/2/1999,46.535277799999996,-89.28111109999999
35,9/25/1999 20:00,nashville,tn,us,cigar,60.0,1 minute?,silver cigar shape,10/2/1999,36.165833299999996,-86.7844444
36,9/25/1999 21:20,riverside,ca,us,other,600.0,10 min,two objects came from east to west then broke apart soon they came together again but now there were three they zigzagged between eacho,10/2/1999,33.9533333,-117.39527779999999
37,9/25/1999 22:00,duanesburg (mohawk valley),ny,us,light,600.0,10mins,We could not identify shape since it was night.  The lights were identifiable.  Not as an airplane&#44 we&#39ve seen those often around here&#44,10/2/1999,42.7619444,-74.13416670000001
38,9/25/1999 23:08,las vegas,nv,us,disk,240.0,4 minutes,(Peter: we discussed this over the phone with you last Saturday). My husband and I were outside in our spa in South Las Vegas. At 11:08,10/2/1999,36.175,-115.1363889
39,9/25/1999 23:08,las vegas,nv,us,oval,420.0,7 minutes,Location:South Las Vegas Time/Date 9/25/99 at 11:08 pm Sighting:5 round objects (about 1/2 size of the full moon)appearing one at a tim,10/2/1999,36.175,-115.1363889
40,9/25/1999 23:10,lake oswego,or,us,formation,240.0,4min.,As reported directly to Peter Davenport by phone 9-25-99&#44 23:25pm-------I went outside with binoculars to do a sky watch and was lookin,10/2/1999,45.4208333,-122.66944440000002
41,9/25/2000 17:00,palatine,il,us,circle,300.0,2-5 min,round black object hovering over line of trees,12/2/2000,42.1102778,-88.0341667
42,9/25/2000 17:30,glendale,ca,us,oval,720.0,10-12 minutes,Formation of bright white objects observed over Los Angeles.,12/2/2000,34.1425,-118.25416670000001
